AAVE,SAE
"yeah, the spring semester of my senior year,","yes, the spring semester of my senior year,"
"yeah,",yes
there is no more classes i can take.,there are no more classes i can take.
"i don't know if i'm a failure, i just don't w- wanna spend that like-","i don't know if i'm a failure, i just don't w- want to spend that like-"
"okay- nah, no you need to- you need to take some time, figure out what exactly you want to do in life.","okay- , no you need to- you need to take some time, figure out what exactly you want to do in life."
my community. i wanna help,my community. i want to help
"and, um,",and
"me and her was having a meeting, she just called me up one day. she's like, come over, let's have a meeting. i'm like, alright.","me and her were having a meeting, she just called me up one day. she's like, come over, let's have a meeting. i'm like, alright."
"it's slightly less extensive than the peace corps. cause i found out the peace corps, you gotta do like video interviews and skype and [all that.] but, um,","it's slightly less extensive than the peace corps. because i found out the peace corps, you have to do video interviews and skype and [all that.] but,"
"and then, um, i did some upward bound at mcc and then i hosted something at","and then, i did some upward bound at mcc and then i hosted something at"
"monroe. and i'm just like going to all these different places cause i'm like,","monroe. and i'm just like going to all these different places because i'm like,"
i wanna go,i want to go
"everywhere. i wanna offer my service everywhere touch- excuse me, touch as many people as possible.","everywhere. i want to offer my services everywhere touch- excuse me, touch as many people as possible."
"and, um,",and
yeah.,yes
"but, uh,",but
"yeah. i'm like it- it- it was- it was nice,","yes, i'm like it was it was nice"
"um, as in /rd-work-4/ is like,","as in /rd-work-4/ is like,"
something coulda happened.,something could have happened.
"um, at /rd-school-2/ i'm allowed to- i have that connection with the home, the school, the student, the parent and it's like that full circle.","at /rd-school-2/ i'm allowed to- i have that connection with the home, the school, the student, the parent and it's like that full circle."
and then with it being a all male school and,and then with it being an all male school and
"i'm like, yo look,","i'm like, hey look,"
"<ts> yeah it's [like],","<ts> yes it's [like],"
job-ish,job
"okay, great. [so, i have] a- like","okay, great. [so, i have] a"
"a couple more questions. [um,]",a couple more questions. 
"that are more so geared toward, like,","that are more so geared toward, "
"what you wanna see improved,","what you want to see improved,"
"i remember like all the festivals, all- all of that stuff.","i remember all the festivals, all- of that stuff."
stuff started shutting down.,stuff started closing.
"uh, uh, a constant thing, but i do remember like being around like eleven and start,","a constant thing, but i do remember like being around like eleven and started,"
shutting down.,closing
"being like fourteen, fifteen and all of a sudden they're like-","being like fourteen, fifteen and suddenly they're like-"
"it felt like it was a war on the youth. like,","it felt like there was a war on the youth. like,"
"now you got a curfew. i'm,","now you have a curfew. i'm like,"
"that was a phase where i was like, no, i don't wanna be here. i gotta get out. i wanna get out. i wanna move. like,","that was a phase where i was like, no, i don't want to be here. i have to get out. i want to get out. i want to move. "
"get rochester, rochester don't got nothing for me.","get rochester, rochester doesn't have anything for me."
seventeen-ish,about seventeen
cause also with,because also with
"like, the war on like",the war on
"and then, um,",and then
"um, but then i had the opportunity to join, um, it was like a downtown like initiative","but then i had the opportunity to join, it was like a downtown like initiative"
"where a lot of different like business owners downtown are like, okay, we're gonna try and like,","where a lot of different like business owners downtown are like, okay, we're going to try and like,"
get something for the youth to do. we're gonna try and,get something for the youth to do. we're going to try and
"and, um, together we brainstormed, and opened,","and,  together we brainstormed, and opened,"
